"id","name","price","standard_price"
"__export__.producto1","IPhone 6 ","219.0","200.0"
"__export__.producto2","IPhone 5s ","169.0","130.0"
"__export__.producto3","Auriculares Bluetooth","50.0","40.0"
"__export__.producto4","Cargador inalambrico","24.0","20.0"
"__export__.producto5","Xiaomi Redmi Note 5","186.0","150.0"
"__export__.producto6","Xiaomi Mi A2 Lite","169.0","140.0"
"__export__.producto7","Xiaomi Redmi 6","114.0","100.0"
"__export__.producto8","CHOETECH Cable USB C a HDMI 4K","15.0","10.0"
"__export__.producto9","Holyhigh Auriculares Bluetooth","50.0","40.0"
"__export__.producto10","Kindle","80.0","60.0"
"__export__.producto11","Kindle Paperwhite","110.0","100.0"
"__export__.producto12","Fujifilm Instax Mini 9","68.0","55.0"
"__export__.producto13","Pulsera Xiaomi Mi Band 3","23.0","18.0"
"__export__.producto14","Kugi Xiaomi Mi A2","8.0","7.0"
"__export__.producto15","Bose QuietComfort 35","285.0","260.0"
"__export__.producto16","Soporte Movil Coche Magnetico","8.0","7.0"
"__export__.producto17","Samsung Galaxy Tab A","173.0","160.0"
"__export__.producto18","Cargador Amazon PowerFast","20.0","15.0"
"__export__.producto19","Poweradd Pilot X7 2000mAh","22.0","18.0"
"__export__.producto20","Victure Camara Deportiva","76.0","70.0"
"__export__.producto21","Cargador Inalambrico Rapido CHOETECH","15.0","10.0"
"__export__.producto22","Apple AirPods","148.0","140.0"
"__export__.producto23","Samsung 860 EVO","87.0","80.0"
"__export__.producto24","HONOR 8X","250.0","200.0"
"__export__.producto25","Auricular Magnetico","23.0","20.0"
"__export__.producto26","Willful smartwatch con Pulsometro","54.0","50.0"
"__export__.producto27","Toshiba Canvio Basics","66.0","60.0"
"__export__.producto28","VTIN R2","22.0","20.0"
"__export__.producto29","Soporte regulable para Echo Spot","20.0","15.0"
"__export__.producto30","Raspberry Pi3 Modelo B+","37.0","30.0"
